iter	Passed	Remaining
0	146	146769
1	151	75487
2	155	51769
3	159	39642
4	164	32721
5	166	27642
6	168	23949
7	172	21331
8	174	19223
9	176	17496
10	178	16045
11	180	14890
12	182	13886
13	184	13009
14	186	12222
15	187	11526
16	189	10975
17	191	10443
18	194	10027
19	196	9609
20	197	9210
21	198	8841
22	200	8502
23	201	8193
24	202	7914
25	204	7647
26	205	7404
27	206	7178
28	208	6973
29	209	6785
30	211	6605
31	212	6428
32	213	6266
33	216	6144
34	219	6058
35	221	5932
36	223	5807
37	224	5688
38	226	5570
39	227	5455
40	228	5346
41	229	5240
42	230	5140
43	232	5045
44	233	4954
45	235	4874
46	236	4790
47	237	4708
48	238	4629
49	239	4556
50	241	4489
51	242	4418
52	243	4348
53	244	4281
54	245	4217
55	246	4155
56	247	4094
57	248	4035
58	249	3982
59	250	3930
60	251	3876
61	252	3824
62	254	3778
63	255	3733
64	256	3688
65	257	3644
66	258	3601
67	259	3559
68	260	3518
69	261	3477
70	262	3438
71	263	3400
72	264	3364
73	266	3334
74	267	3300
75	268	3265
76	269	3233
77	270	3200
78	271	3168
79	272	3136
80	273	3105
81	274	3077
82	275	3042
83	276	3013
84	277	2988
85	278	2963
86	279	2937
87	281	2913
88	282	2891
89	283	2867
90	284	2843
91	285	2818
92	286	2794
93	287	2770
94	288	2746
95	289	2723
96	290	2701
97	291	2679
98	292	2659
99	293	2641
100	294	2624
101	295	2604
102	296	2584
103	297	2565
104	298	2546
105	299	2527
106	300	2509
107	301	2491
108	302	2473
109	303	2456
110	304	2438
111	305	2421
112	306	2404
113	307	2389
114	308	2375
115	309	2360
116	310	2344
117	311	2330
118	312	2314
119	313	2299
120	314	2286
121	315	2270
122	316	2257
123	317	2243
124	318	2229
125	319	2216
126	320	2202
127	321	2190
128	322	2180
129	323	2167
130	324	2154
131	325	2141
132	326	2128
133	327	2117
134	328	2104
135	329	2092
136	330	2082
137	331	2070
138	332	2058
139	333	2048
140	334	2037
141	335	2026
142	336	2015
143	337	2006
144	338	1996
145	339	1986
146	340	1976
147	341	1965
148	342	1956
149	343	1946
150	344	1936
151	345	1927
152	346	1917
153	347	1908
154	348	1899
155	349	1890
156	350	1881
157	351	1873
158	352	1864
159	353	1856
160	354	1845
161	355	1837
162	356	1828
163	357	1820
164	358	1812
165	359	1804
166	360	1796
167	361	1791
168	362	1784
169	364	1777
170	365	1772
171	367	1767
172	368	1760
173	369	1753
174	370	1747
175	371	1740
176	372	1733
177	374	1728
178	375	1722
179	376	1715
180	377	1708
181	378	1703
182	380	1699
183	381	1693
184	382	1687
185	384	1681
186	385	1675
187	386	1669
188	388	1665
189	389	1661
190	391	1656
191	392	1650
192	393	1645
193	394	1639
194	395	1634
195	397	1628
196	398	1622
197	399	1617
198	400	1610
199	401	1605
200	402	1600
201	403	1594
202	404	1588
203	405	1582
204	406	1576
205	407	1570
206	408	1565
207	410	1562
208	411	1556
209	412	1552
210	413	1547
211	414	1542
212	415	1536
213	416	1531
214	418	1526
215	419	1520
216	420	1515
217	420	1509
218	421	1504
219	422	1499
220	423	1494
221	425	1490
222	426	1484
223	427	1479
224	428	1474
225	429	1469
226	430	1464
227	430	1459
228	431	1454
229	432	1449
230	433	1444
231	434	1439
232	435	1434
233	437	1431
234	439	1431
235	440	1427
236	441	1422
237	443	1418
238	444	1416
239	446	1413
240	447	1410
241	449	1406
242	450	1402
243	451	1398
244	452	1394
245	453	1390
246	454	1386
247	456	1382
248	457	1378
249	458	1376
250	461	1375
251	462	1372
252	463	1368
253	464	1363
254	465	1359
255	466	1357
256	468	1353
257	469	1350
258	470	1346
259	472	1343
260	473	1341
261	476	1342
262	477	1339
263	479	1336
264	482	1339
265	484	1337
266	487	1339
267	491	1341
268	493	1339
269	496	1342
270	498	1340
271	499	1336
272	503	1340
273	504	1337
274	506	1335
275	507	1332
276	509	1329
277	511	1327
278	512	1324
279	513	1321
280	515	1318
281	516	1315
282	517	1311
283	518	1308
284	520	1305
285	521	1301
286	522	1298
287	524	1297
288	526	1294
289	527	1291
290	529	1289
291	531	1288
292	535	1291
293	537	1289
294	542	1297
295	544	1295
296	549	1300
297	551	1299
298	556	1303
299	558	1303
300	560	1301
301	563	1301
302	567	1305
303	569	1303
304	571	1301
305	573	1300
306	574	1297
307	576	1295
308	578	1293
309	579	1290
310	581	1288
311	582	1285
312	584	1283
313	586	1280
314	588	1280
315	590	1278
316	593	1278
317	594	1275
318	595	1271
319	596	1268
320	598	1265
321	600	1264
322	602	1263
323	604	1260
324	606	1259
325	607	1256
326	609	1254
327	611	1252
328	613	1250
329	616	1251
330	618	1249
331	619	1247
332	621	1244
333	622	1241
334	624	1239
335	626	1237
336	628	1235
337	630	1235
338	631	1232
339	633	1229
340	635	1227
341	636	1224
342	638	1222
343	639	1219
344	640	1216
345	641	1213
346	643	1210
347	644	1207
348	645	1204
349	647	1202
350	648	1199
351	650	1197
352	652	1195
353	653	1192
354	654	1189
355	656	1187
356	658	1185
357	659	1182
358	661	1180
359	662	1177
360	663	1175
361	665	1173
362	668	1173
363	670	1171
364	672	1169
365	673	1167
366	675	1164
367	676	1162
368	678	1160
369	679	1157
370	681	1155
371	682	1152
372	684	1150
373	685	1147
374	687	1145
375	688	1143
376	690	1140
377	691	1138
378	693	1135
379	694	1132
380	695	1130
381	697	1128
382	698	1126
383	700	1123
384	702	1121
385	703	1119
386	705	1117
387	706	1114
388	709	1114
389	711	1112
390	713	1111
391	715	1109
392	717	1107
393	718	1105
394	720	1103
395	722	1101
396	725	1102
397	727	1100
398	731	1101
399	733	1100
400	735	1097
401	736	1095
402	738	1093
403	739	1091
404	741	1088
405	742	1086
406	743	1084
407	745	1081
408	746	1078
409	747	1076
410	749	1073
411	750	1070
412	751	1068
413	753	1065
414	754	1063
415	755	1061
416	757	1058
417	758	1056
418	760	1053
419	761	1051
420	762	1049
421	763	1046
422	765	1043
423	766	1041
424	767	1038
425	768	1035
426	769	1033
427	771	1031
428	773	1029
429	774	1026
430	775	1024
431	777	1021
432	778	1019
433	779	1017
434	781	1014
435	782	1012
436	783	1009
437	785	1007
438	786	1005
439	787	1002
440	788	1000
441	790	997
442	791	995
443	792	992
444	794	990
445	795	988
446	797	986
447	798	983
448	799	981
449	800	978
450	801	975
451	803	973
452	804	971
453	805	969
454	807	966
455	808	964
456	810	963
457	813	962
458	815	960
459	816	958
460	818	957
461	820	955
462	821	953
463	822	950
464	824	948
465	825	946
466	827	943
467	828	941
468	829	939
469	831	937
470	832	935
471	834	933
472	835	931
473	836	928
474	839	927
475	841	926
476	843	924
477	844	922
478	846	920
479	847	918
480	849	916
481	850	914
482	852	912
483	853	909
484	855	908
485	857	907
486	859	905
487	860	903
488	862	900
489	863	898
490	864	896
491	867	895
492	868	893
493	870	891
494	872	890
495	874	888
496	876	886
497	877	884
498	879	882
499	881	881
500	882	879
501	885	878
502	887	877
503	889	874
504	890	872
505	891	870
506	893	868
507	894	866
508	895	864
509	896	861
510	898	859
511	899	856
512	900	854
513	901	852
514	902	850
515	904	848
516	905	846
517	907	843
518	908	841
519	909	839
520	911	838
521	913	836
522	915	834
523	916	832
524	918	831
525	920	829
526	921	826
527	922	824
528	923	822
529	925	820
530	927	819
531	929	817
532	931	815
533	933	814
534	934	812
535	936	810
536	937	808
537	939	806
538	940	804
539	942	803
540	944	801
541	945	799
542	947	797
543	948	795
544	949	792
545	950	790
546	952	788
547	953	786
548	954	783
549	955	781
550	956	779
551	957	777
552	958	774
553	959	772
554	961	770
555	962	768
556	963	766
557	965	764
558	966	762
559	967	760
560	968	757
561	969	755
562	970	753
563	972	751
564	973	749
565	974	747
566	976	745
567	977	743
568	979	741
569	980	739
570	982	737
